#Depth(m)	Radius(m)	Pressure(Pa)	Gravity(m/s^2)	Density(g/m^3)	Vp(m/s)	Vs(m/s)	Qk	Qmu
4.000010e+05	5.970999e+06	1.335000e+10	9.923574e+00	3.723780e+03	9.133970e+03	4.932590e+03	1.000000e+05	1.650000e+02
4.500000e+05	5.921000e+06	1.524000e+10	9.933169e+00	3.786780e+03	9.389900e+03	5.078420e+03	1.000000e+05	1.650000e+02
5.000000e+05	5.871000e+06	1.713000e+10	9.941718e+00	3.849800e+03	9.645880e+03	5.224280e+03	1.000000e+05	1.650000e+02
5.500000e+05	5.821000e+06	1.908500e+10	9.949229e+00	3.912820e+03	9.901850e+03	5.370140e+03	1.000000e+05	1.650000e+02
6.000000e+05	5.771000e+06	2.104000e+10	9.941961e+00	3.975840e+03	1.015782e+04	5.516000e+03	1.000000e+05	1.650000e+02
6.000010e+05	5.770999e+06	2.104000e+10	9.941961e+00	3.975840e+03	1.015782e+04	5.516020e+03	1.000000e+05	1.650000e+02
6.350000e+05	5.736000e+06	2.243500e+10	9.946784e+00	3.983990e+03	1.021203e+04	5.543110e+03	1.000000e+05	1.650000e+02
6.700000e+05	5.701000e+06	2.383000e+10	9.960033e+00	3.992140e+03	1.026622e+04	5.570200e+03	1.000000e+05	1.650000e+02
6.700010e+05	5.700999e+06	2.383000e+10	9.960033e+00	4.380710e+03	1.075131e+04	5.945080e+03	1.000000e+05	1.650000e+02
7.210000e+05	5.650000e+06	2.608208e+10	9.951594e+00	4.412410e+03	1.091005e+04	6.094180e+03	1.000000e+05	3.550000e+02
7.710000e+05	5.600000e+06	2.829000e+10	9.949530e+00	4.443160e+03	1.106556e+04	6.240460e+03	1.000000e+05	3.550000e+02
7.710010e+05	5.599999e+06	2.829000e+10	9.949530e+00	4.443170e+03	1.106557e+04	6.240460e+03	1.000000e+05	3.550000e+02
8.710000e+05	5.500000e+06	3.279000e+10	9.933913e+00	4.503720e+03	1.124490e+04	6.310910e+03	1.000000e+05	3.550000e+02
9.710000e+05	5.400000e+06	3.729000e+10	9.919357e+00	4.563070e+03	1.141560e+04	6.378130e+03	1.000000e+05	3.550000e+02
1.071000e+06	5.300000e+06	4.189000e+10	9.906239e+00	4.621290e+03	1.157628e+04	6.442320e+03	1.000000e+05	3.550000e+02
1.171000e+06	5.200000e+06	4.649000e+10	9.894942e+00	4.678440e+03	1.173357e+04	6.503700e+03	1.000000e+05	3.550000e+02
1.271000e+06	5.100000e+06	5.119500e+10	9.885900e+00	4.734600e+03	1.188209e+04	6.562500e+03	1.000000e+05	3.550000e+02
1.371000e+06	5.000000e+06	5.590000e+10	9.879563e+00	4.789830e+03	1.202445e+04	6.618910e+03	1.000000e+05	3.550000e+02
1.471000e+06	4.900000e+06	6.071000e+10	9.876421e+00	4.844220e+03	1.216126e+04	6.673170e+03	1.000000e+05	3.550000e+02
1.571000e+06	4.800000e+06	6.552000e+10	9.877008e+00	4.897830e+03	1.229316e+04	6.725480e+03	1.000000e+05	3.550000e+02
1.671000e+06	4.700000e+06	7.044000e+10	9.881893e+00	4.950730e+03	1.242075e+04	6.776060e+03	1.000000e+05	3.550000e+02
1.771000e+06	4.600000e+06	7.536000e+10	9.891705e+00	5.002990e+03	1.254466e+04	6.825120e+03	1.000000e+05	3.550000e+02
1.871000e+06	4.500000e+06	8.039500e+10	9.907140e+00	5.054690e+03	1.266550e+04	6.872890e+03	1.000000e+05	3.550000e+02
1.971000e+06	4.400000e+06	8.543000e+10	9.928972e+00	5.105900e+03	1.278389e+04	6.919570e+03	1.000000e+05	3.550000e+02
2.071000e+06	4.300000e+06	9.059500e+10	9.958031e+00	5.156690e+03	1.290045e+04	6.965380e+03	1.000000e+05	3.550000e+02
2.171000e+06	4.200000e+06	9.576000e+10	9.995246e+00	5.207130e+03	1.301579e+04	7.010530e+03	1.000000e+05	3.550000e+02
2.271000e+06	4.100000e+06	1.010750e+11	1.004165e+01	5.257290e+03	1.313055e+04	7.055250e+03	1.000000e+05	3.550000e+02
2.371000e+06	4.000000e+06	1.063900e+11	1.009843e+01	5.307240e+03	1.324532e+04	7.099740e+03	1.000000e+05	3.550000e+02
2.471000e+06	3.900000e+06	1.118700e+11	1.016689e+01	5.357060e+03	1.336074e+04	7.144230e+03	1.000000e+05	3.550000e+02
2.571000e+06	3.800000e+06	1.173500e+11	1.024851e+01	5.406810e+03	1.347742e+04	7.188920e+03	1.000000e+05	3.550000e+02
2.671000e+06	3.700000e+06	1.230088e+11	1.034495e+01	5.456570e+03	1.359597e+04	7.234030e+03	1.000000e+05	3.550000e+02
2.741000e+06	3.630000e+06	1.269700e+11	1.041838e+01	5.491450e+03	1.368041e+04	7.265970e+03	1.000000e+05	3.550000e+02
2.741001e+06	3.629999e+06	1.269700e+11	1.041838e+01	5.491450e+03	1.368041e+04	7.265970e+03	1.000000e+05	3.550000e+02
2.771000e+06	3.600000e+06	1.287100e+11	1.045422e+01	5.506420e+03	1.368753e+04	7.265750e+03	1.000000e+05	3.550000e+02
