|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   1.0000000000000000     
   15000.090000000000     
         101
T(K)    
   200.00000000000000     
   40.000000000000000     
         101
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  480004.        240.000        4837.73       0.779586E-005  0.241828E-006  0.416832E+007  0.228647E+007   9.28239        12.2139        6.87483        293.258      -0.209835E+007   516.832        2.05076     
  495004.        240.000        4855.22       0.764937E-005  0.238693E-006  0.422242E+007  0.230648E+007   9.32559        12.2600        6.89240        290.867      -0.178941E+007   513.473        2.04337     
  510004.        240.000        4872.55       0.750772E-005  0.235648E-006  0.427638E+007  0.232644E+007   9.36828        12.3055        6.90984        288.522      -0.148158E+007   510.167        2.03610     
  525004.        240.000        4889.74       0.737068E-005  0.232688E-006  0.433018E+007  0.234640E+007   9.41045        12.3506        6.92720        286.216      -0.117483E+007   506.914        2.02894     
  540004.        240.000        4906.77       0.723815E-005  0.229808E-006  0.438385E+007  0.236626E+007   9.45214        12.3952        6.94438        284.004       -869124.        503.723        2.02190     
  555004.        240.000        4923.65       0.710956E-005  0.227004E-006  0.443742E+007  0.238591E+007   9.49340        12.4393        6.96120        281.770       -564484.        500.571        2.01497     
  570004.        240.000        4940.43       0.698528E-005  0.224287E-006  0.449062E+007  0.240641E+007   9.53391        12.4836        6.97915        279.488       -260896.        497.467        2.00813     
  585005.        240.000        4957.00       0.686432E-005  0.221623E-006  0.454405E+007  0.242546E+007   9.57442        12.5263        6.99499        277.356        41703.2        494.411        2.00141     
  600005.        240.000        4973.52       0.674767E-005  0.219047E-006  0.459694E+007  0.244608E+007   9.61397        12.5700        7.01299        275.133        343273.        491.411        1.99476     
  615005.        240.000        4989.82       0.663373E-005  0.216519E-006  0.465011E+007  0.246502E+007   9.65360        12.6119        7.02859        273.009        643868.        488.436        1.98825     
  630005.        240.000        5006.03       0.652343E-005  0.214060E-006  0.470302E+007  0.248446E+007   9.69264        12.6538        7.04481        270.897        943488.        485.518        1.98181     
  645005.        240.000        5022.10       0.641633E-005  0.211661E-006  0.475582E+007  0.250384E+007   9.73127        12.6954        7.06091        268.801       0.124215E+007   482.640        1.97547     
  660005.        240.000        5038.06       0.631228E-005  0.209322E-006  0.480849E+007  0.252318E+007   9.76951        12.7366        7.07689        266.717       0.153985E+007   479.805        1.96921     
  675005.        240.000        5053.89       0.621116E-005  0.207038E-006  0.486104E+007  0.254246E+007   9.80735        12.7773        7.09275        264.642       0.183662E+007   477.009        1.96304     
  690005.        240.000        5069.61       0.611286E-005  0.204809E-006  0.491349E+007  0.256169E+007   9.84482        12.8177        7.10847        262.575       0.213247E+007   474.254        1.95696     
  705005.        240.000        5085.20       0.601720E-005  0.202630E-006  0.496586E+007  0.258072E+007   9.88196        12.8577        7.12388        260.536       0.242741E+007   471.536        1.95095     
  720005.        240.000        5100.68       0.592411E-005  0.200501E-006  0.501815E+007  0.259959E+007   9.91878        12.8971        7.13902        258.524       0.272145E+007   468.856        1.94504     
  735005.        240.000        5116.04       0.583349E-005  0.198419E-006  0.507036E+007  0.261832E+007   9.95526        12.9362        7.15393        256.531       0.301461E+007   466.213        1.93920     
  750006.        240.000        5131.28       0.574525E-005  0.196384E-006  0.512248E+007  0.263693E+007   9.99142        12.9749        7.16864        254.555       0.330690E+007   463.606        1.93343     
  765006.        240.000        5146.41       0.565927E-005  0.194392E-006  0.517455E+007  0.265529E+007   10.0273        13.0131        7.18297        252.628       0.359833E+007   461.032        1.92775     
  780006.        240.000        5161.44       0.557551E-005  0.192444E-006  0.522652E+007  0.267361E+007   10.0629        13.0509        7.19720        250.700       0.388891E+007   458.492        1.92214     
  795006.        240.000        5176.35       0.549384E-005  0.190537E-006  0.527843E+007  0.269171E+007   10.0981        13.0884        7.21111        248.812       0.417866E+007   455.988        1.91660     
  810006.        240.000        5191.16       0.541422E-005  0.188670E-006  0.533028E+007  0.270965E+007   10.1331        13.1254        7.22477        246.955       0.446758E+007   453.514        1.91114     
  825006.        240.000        5205.85       0.533653E-005  0.186840E-006  0.538208E+007  0.272734E+007   10.1679        13.1620        7.23809        245.154       0.475569E+007   451.073        1.90574     
  840006.        240.000        5220.44       0.526072E-005  0.185048E-006  0.543384E+007  0.274477E+007   10.2023        13.1981        7.25103        243.420       0.504301E+007   448.663        1.90042     
  855006.        240.000        5234.93       0.518678E-005  0.183293E-006  0.548549E+007  0.276223E+007   10.2365        13.2341        7.26398        241.659       0.532953E+007   446.281        1.89515     
  870006.        240.000        5249.32       0.511458E-005  0.181573E-006  0.553710E+007  0.277947E+007   10.2705        13.2696        7.27662        239.955       0.561526E+007   443.932        1.88996     
