#Radius	 Grav acc
3.1720230000e+06	9.8684508733e+00
3.1848550000e+06	9.8993532360e+00
3.1976880000e+06	9.9301238059e+00
3.2105200000e+06	9.9607915884e+00
3.2233520000e+06	9.9913324205e+00
3.2361850000e+06	1.0021747957e+01
3.2490170000e+06	1.0052058449e+01
3.2618490000e+06	1.0082239900e+01
3.2746820000e+06	1.0112293943e+01
3.2875140000e+06	1.0142240699e+01
3.3003470000e+06	1.0172050069e+01
3.3131790000e+06	1.0201750632e+01
3.3260110000e+06	1.0231318582e+01
3.3388440000e+06	1.0260755514e+01
3.3516760000e+06	1.0290081421e+01
3.3645090000e+06	1.0319266427e+01
3.3773410000e+06	1.0348338903e+01
3.3901730000e+06	1.0377275185e+01
3.4030060000e+06	1.0406076828e+01
3.4158380000e+06	1.0434763692e+01
3.4286700000e+06	1.0463312181e+01
3.4415030000e+06	1.0491723825e+01
3.4543350000e+06	1.0520018402e+01
3.4671680000e+06	1.0548166353e+01
3.4800000000e+06	1.0576195648e+01
3.4800000000e+06	1.0682429193e+01
3.4936360000e+06	1.0599202817e+01
3.5072730000e+06	1.0579781999e+01
3.5209090000e+06	1.0560765553e+01
3.5345450000e+06	1.0542131561e+01
3.5481820000e+06	1.0523872230e+01
3.5618180000e+06	1.0505997705e+01
3.5754550000e+06	1.0488480711e+01
3.5890910000e+06	1.0471336094e+01
3.6027270000e+06	1.0454542712e+01
3.6163640000e+06	1.0438093443e+01
3.6300000000e+06	1.0421998666e+01
3.6300000000e+06	1.0484566120e+01
3.6427920000e+06	1.0411060366e+01
3.6555840000e+06	1.0396554071e+01
3.6683770000e+06	1.0382330750e+01
3.6811690000e+06	1.0368401885e+01
3.6939610000e+06	1.0354748322e+01
3.7067530000e+06	1.0341370290e+01
3.7195450000e+06	1.0328263539e+01
3.7323380000e+06	1.0315418359e+01
3.7451300000e+06	1.0302846255e+01
3.7579220000e+06	1.0290528624e+01
3.7707140000e+06	1.0278466026e+01
3.7835060000e+06	1.0266654559e+01
3.7962990000e+06	1.0255084980e+01
3.8090910000e+06	1.0243768851e+01
3.8218830000e+06	1.0232688076e+01
3.8346750000e+06	1.0221843458e+01
3.8474680000e+06	1.0211226101e+01
3.8602600000e+06	1.0200847652e+01
3.8730520000e+06	1.0190690286e+01
3.8858440000e+06	1.0180755074e+01
3.8986360000e+06	1.0171038658e+01
3.9114290000e+06	1.0161532486e+01
3.9242210000e+06	1.0152248234e+01
3.9370130000e+06	1.0143168569e+01
3.9498050000e+06	1.0134294754e+01
3.9625970000e+06	1.0125623693e+01
3.9753900000e+06	1.0117147199e+01
3.9881820000e+06	1.0108876910e+01
4.0009740000e+06	1.0100795903e+01
4.0137660000e+06	1.0092905657e+01
4.0265580000e+06	1.0085203317e+01
4.0393510000e+06	1.0077681085e+01
4.0521430000e+06	1.0070350548e+01
4.0649350000e+06	1.0063195109e+01
4.0777270000e+06	1.0056216498e+01
4.0905190000e+06	1.0049412077e+01
4.1033120000e+06	1.0042774303e+01
4.1161040000e+06	1.0036314758e+01
4.1288960000e+06	1.0030017199e+01
4.1416880000e+06	1.0023883531e+01
4.1544810000e+06	1.0017906440e+01
4.1672730000e+06	1.0012097495e+01
4.1800650000e+06	1.0006440775e+01
4.1928570000e+06	1.0000938258e+01
4.2056490000e+06	9.9955876003e+00
4.2184420000e+06	9.9903817555e+00
4.2312340000e+06	9.9853322714e+00
4.2440260000e+06	9.9804234872e+00
4.2568180000e+06	9.9756575277e+00
4.2696100000e+06	9.9710322173e+00
4.2824030000e+06	9.9665407576e+00
4.2951950000e+06	9.9621946683e+00
4.3079870000e+06	9.9579785837e+00
4.3207790000e+06	9.9538947596e+00
4.3335710000e+06	9.9499411742e+00
4.3463640000e+06	9.9461112057e+00
4.3591560000e+06	9.9424163396e+00
4.3719480000e+06	9.9388414889e+00
4.3847400000e+06	9.9353890263e+00
4.3975320000e+06	9.9320570718e+00
4.4103250000e+06	9.9288392165e+00
4.4231170000e+06	9.9257469066e+00
4.4359090000e+06	9.9227653176e+00
