# American Mineralogist: May 2018 Deposit AM-18-56267																				
# Fischer et al.: Equations of state and phase boundary for SiO2																				
# Table S2: Pressures (P), temperatures (T), SiO2 phase identification, and lattice parameters (a, b, c) from X-ray diffraction experiments.																				
# 																				
# File	    phase	    line	PKBr    err	PPt     err	Tsample err	TKBr    err aKBr    err	    aPt     err 	aSiO2   err 	bSiO2   err 	cSiO2	err
R130_250	stishovite	13-ID-D	57.3	1.7	0.0	    0.0	1987	120	1603	436	3.235	0.001	0.0	    0.0	    4.000	0.005	4.000	0.005	2.606	0.006
R130_251	stishovite	13-ID-D	57.3	1.5	0.0	    0.0	1796	116	1456	387	3.233	0.001	0.0	    0.0	    3.995	0.003	3.995	0.003	2.610	0.004
R130_253	stishovite	13-ID-D	57.2	1.4	0.0	    0.0	1717	109	1394	366	3.233	0.001	0.0	    0.0	    3.998	0.007	3.998	0.007	2.601	0.007
R130_254	stishovite	13-ID-D	56.6	2.0	0.0	    0.0	1658	109	1349	351	3.236	0.004	0.0	    0.0	    3.992	0.003	3.992	0.003	2.612	0.004
R130_255	stishovite	13-ID-D	57.2	1.3	0.0	    0.0	1564	108	1276	327	3.232	0.001	0.0	    0.0	    3.989	0.002	3.989	0.002	2.610	0.003
R130_256	stishovite	13-ID-D	57.2	1.2	0.0	    0.0	1502	108	1228	311	3.232	0.001	0.0	    0.0	    3.992	0.003	3.992	0.003	2.607	0.004
R130_257	stishovite	13-ID-D	57.0	1.1	0.0	    0.0	1374	106	1129	278	3.232	0.001	0.0	    0.0	    3.992	0.003	3.992	0.003	2.607	0.003
R130_258	stishovite	13-ID-D	57.0	1.0	0.0	    0.0	1276	105	1054	253	3.231	0.001	0.0	    0.0	    3.993	0.004	3.993	0.004	2.607	0.005
R130_260	stishovite	13-ID-D	57.1	0.9	0.0	    0.0	1160	104	964	    223	3.230	0.001	0.0	    0.0	    3.995	0.001	3.995	0.001	2.591	0.001
R130_267	stishovite	13-ID-D	57.3	2.5	0.0	    0.0	2876	139	2290	665	3.241	0.002	0.0	    0.0	    4.013	0.002	4.013	0.002	2.610	0.003
R130_268	stishovite	13-ID-D	57.4	2.3	0.0	    0.0	2701	132	2155	620	3.239	0.002	0.0	    0.0	    4.011	0.003	4.011	0.003	2.618	0.004
R130_269	stishovite	13-ID-D	58.1	2.7	0.0	    0.0	3056	143	2430	712	3.238	0.002	0.0	    0.0	    4.020	0.003	4.020	0.003	2.613	0.004
R130_270	stishovite	13-ID-D	58.1	2.7	0.0	    0.0	3213	135	2551	752	3.238	0.002	0.0	    0.0	    4.021	0.004	4.021	0.004	2.610	0.005
R130_271	stishovite	13-ID-D	58.1	2.9	0.0	    0.0	3274	159	2599	768	3.239	0.002	0.0	    0.0	    4.023	0.005	4.023	0.005	2.612	0.006
R130_273	stishovite	13-ID-D	57.6	2.7	0.0	    0.0	3112	146	2473	726	3.241	0.001	0.0	    0.0	    4.018	0.007	4.018	0.007	2.613	0.008
R130_297	stishovite	13-ID-D	61.2	1.7	59.2	0.0	1907	112	1541	415	3.215	0.002	3.765	-1.000	3.990	0.008	3.990	0.008	2.569	0.011
R130_298	stishovite	13-ID-D	61.0	1.9	60.2	0.0	2023	113	1631	445	3.217	0.002	3.765	-1.000	3.989	0.003	3.989	0.003	2.584	0.004
R130_300	stishovite	13-ID-D	61.7	2.0	60.7	1.0	2095	115	1687	464	3.214	0.002	3.765	0.001	3.989	0.004	3.989	0.004	2.583	0.006
R130_302	stishovite	13-ID-D	61.6	2.0	59.4	1.2	2209	116	1775	493	3.215	0.002	3.770	0.002	3.991	0.003	3.991	0.003	2.591	0.005
R130_303	stishovite	13-ID-D	61.4	2.1	60.3	1.0	2356	120	1889	531	3.217	0.002	3.771	0.001	3.994	0.002	3.994	0.002	2.594	0.003
R130_307	stishovite	13-ID-D	62.1	2.4	60.9	1.3	2575	130	2058	588	3.215	0.002	3.774	0.002	3.996	0.002	3.996	0.002	2.593	0.004
R130_309	stishovite	13-ID-D	62.8	2.5	62.0	1.2	2785	127	2221	642	3.214	0.002	3.775	0.002	3.998	0.003	3.998	0.003	2.592	0.004
R130_312	stishovite	13-ID-D	62.7	2.8	0.0	    0.0	3130	134	2487	731	3.216	0.002	0.0	    0.0	    3.996	0.003	3.996	0.003	2.592	0.004
R130_313	stishovite	13-ID-D	62.9	3.0	0.0	    0.0	3228	136	2563	756	3.216	0.003	0.0	    0.0	    3.999	0.003	3.999	0.003	2.590	0.003
R130_323	stishovite	13-ID-D	61.6	1.9	59.4	1.7	2160	134	1737	481	3.215	0.002	3.769	0.003	3.989	0.001	3.989	0.001	2.589	0.003
R130_325	stishovite	13-ID-D	61.2	1.7	60.7	0.9	2021	118	1629	445	3.216	0.001	3.763	0.000	3.987	0.004	3.987	0.004	2.592	0.008
R130_326	stishovite	13-ID-D	61.2	1.5	59.9	1.2	1860	152	1505	403	3.215	0.001	3.762	0.000	3.981	0.006	3.981	0.006	2.595	0.008
R130_329	stishovite	13-ID-D	61.5	1.6	59.7	0.0	1821	122	1475	393	3.213	0.002	3.762	-1.000	3.985	0.003	3.985	0.003	2.580	0.003
R130_331	stishovite	13-ID-D	61.4	1.6	58.2	1.0	1633	109	1330	345	3.213	0.002	3.762	0.001	3.984	0.004	3.984	0.004	2.579	0.006
R130_333	stishovite	13-ID-D	61.0	1.2	58.5	1.0	1540	108	1258	321	3.214	0.001	3.759	0.001	3.982	0.005	3.982	0.005	2.581	0.006
R130_334	stishovite	13-ID-D	60.8	1.1	57.8	0.8	1405	106	1153	286	3.214	0.001	3.758	0.000	3.985	0.005	3.985	0.005	2.581	0.010
R130_335	stishovite	13-ID-D	60.9	1.0	59.0	1.7	1300	105	1072	259	3.213	0.001	3.753	0.004	3.983	0.007	3.983	0.007	2.573	0.011
R133_1107	stishovite	13-ID-D	65.8	1.8	0.0	    0.0	2258	117	1813	506	3.197	0.001	0.0	    0.0	    3.979	0.003	3.979	0.003	2.584	0.003
R133_1108	stishovite	13-ID-D	65.8	1.9	0.0	    0.0	2324	119	1864	523	3.197	0.001	0.0	    0.0	    3.979	0.003	3.979	0.003	2.586	0.004
