|6.6.6
/home/bob/software/Perple_X/example_23/in23_1.tab                                                   
           2
P(bar)  
   1.0000000000000000     
   999.99599999999998     
         251
T(K)    
   1400.0000000000000     
   100.00000000000000     
           7
          12
rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  3423.013      0.2812725E-04  0.7704140E-06   1354213.       723061.1       6.289833       8.229623       4.596034       2302.044     -0.1057253E+08   1206.609       148.0870    
  3425.646      0.2798897E-04  0.7672902E-06   1359283.       724447.0       6.299176       8.238727       4.598668       2301.225     -0.1054448E+08   1206.307       147.9732    
  3428.270      0.2785222E-04  0.7641985E-06   1364345.       725829.4       6.308478       8.247792       4.601291       2300.410     -0.1051644E+08   1206.008       147.8599    
  3430.886      0.2771695E-04  0.7611385E-06   1369398.       727208.3       6.317740       8.256821       4.603904       2299.600     -0.1048841E+08   1205.713       147.7472    
  3433.493      0.2758315E-04  0.7581095E-06   1374443.       728583.8       6.326962       8.265812       4.606506       2298.794     -0.1046040E+08   1205.422       147.6350    
  3440.631      0.2750568E-04  0.7508047E-06   1388464.       732833.1       6.352552       8.291808       4.615125       2295.640     -0.1043597E+08   1205.424       147.3287    
  3443.210      0.2737669E-04  0.7478954E-06   1393446.       734201.7       6.361555       8.300619       4.617702       2294.843     -0.1040803E+08   1205.141       147.2184    
  3445.781      0.2724905E-04  0.7450144E-06   1398420.       735567.1       6.370521       8.309396       4.620269       2294.050     -0.1038011E+08   1204.861       147.1085    
  3448.344      0.2712273E-04  0.7421614E-06   1403386.       736929.2       6.379450       8.318138       4.622826       2293.261     -0.1035221E+08   1204.585       146.9992    
  3450.900      0.2699771E-04  0.7393358E-06   1408345.       738288.1       6.388344       8.326846       4.625373       2292.477     -0.1032432E+08   1204.311       146.8903    
  3453.447      0.2687396E-04  0.7365372E-06   1413295.       739643.7       6.397202       8.335522       4.627910       2291.697     -0.1029644E+08   1204.040       146.7820    
  3455.987      0.2675148E-04  0.7337652E-06   1418238.       740996.2       6.406024       8.344164       4.630437       2290.921     -0.1026858E+08   1203.773       146.6741    
  3458.519      0.2663022E-04  0.7310192E-06   1423174.       742345.5       6.414811       8.352773       4.632954       2290.149     -0.1024074E+08   1203.508       146.5667    
  3461.043      0.2651018E-04  0.7282989E-06   1428102.       743691.6       6.423564       8.361350       4.635461       2289.381     -0.1021291E+08   1203.245       146.4598    
  3463.560      0.2639134E-04  0.7256038E-06   1433023.       745034.6       6.432283       8.369895       4.637958       2288.617     -0.1018510E+08   1202.986       146.3534    
  3466.070      0.2627366E-04  0.7229336E-06   1437936.       746374.6       6.440969       8.378409       4.640446       2287.857     -0.1015730E+08   1202.729       146.2474    
  3468.572      0.2615715E-04  0.7202879E-06   1442843.       747711.4       6.449621       8.386891       4.642925       2287.101     -0.1012952E+08   1202.475       146.1419    
  3471.066      0.2604176E-04  0.7176662E-06   1447742.       749045.3       6.458239       8.395342       4.645394       2286.348     -0.1010175E+08   1202.223       146.0369    
  3473.554      0.2592750E-04  0.7150682E-06   1452635.       750376.1       6.466826       8.403763       4.647854       2285.600     -0.1007400E+08   1201.975       145.9323    
  3476.034      0.2581433E-04  0.7124934E-06   1457520.       751703.9       6.475380       8.412153       4.650304       2284.856     -0.1004626E+08   1201.728       145.8282    
  3478.507      0.2570225E-04  0.7099417E-06   1462399.       753028.8       6.483902       8.420513       4.652746       2284.115     -0.1001854E+08   1201.484       145.7245    
  3480.973      0.2559123E-04  0.7074125E-06   1467271.       754350.7       6.492393       8.428844       4.655178       2283.378      -9990835.       1201.243       145.6213    
  3483.432      0.2548126E-04  0.7049056E-06   1472136.       755669.7       6.500852       8.437145       4.657601       2282.644      -9963145.       1201.004       145.5185    
  3485.884      0.2537233E-04  0.7024206E-06   1476995.       756985.8       6.509281       8.445417       4.660016       2281.915      -9935469.       1200.767       145.4161    
  3488.843      0.2527384E-04  0.6996265E-06   1482659.       758606.9       6.518984       8.455109       4.663024       2281.034      -9908028.       1200.565       145.2928    
  3491.281      0.2516706E-04  0.6971887E-06   1487501.       759917.3       6.527339       8.463314       4.665420       2280.312      -9880387.       1200.333       145.1914    
  3493.711      0.2506126E-04  0.6947718E-06   1492336.       761224.9       6.535665       8.471491       4.667808       2279.593      -9852761.       1200.104       145.0903    
  3496.135      0.2495643E-04  0.6923755E-06   1497165.       762529.6       6.543961       8.479640       4.670187       2278.877      -9825150.       1199.876       144.9897    
  3498.553      0.2485255E-04  0.6899994E-06   1501988.       763831.6       6.552228       8.487761       4.672557       2278.165      -9797554.       1199.651       144.8896    
  3510.026      0.2683841E-04  0.6833715E-06   1523649.       785388.4       6.588512       8.558188       4.730283       2273.413      -9775751.       1205.504       144.4160    
  3512.422      0.2673964E-04  0.6811597E-06   1528285.       786747.0       6.596277       8.565990       4.732757       2272.651      -9748339.       1205.278       144.3175    
  3514.811      0.2664167E-04  0.6789646E-06   1532916.       788102.9       6.604018       8.573769       4.735223       2271.891      -9720942.       1205.054       144.2193    
  3517.194      0.2654448E-04  0.6767862E-06   1537543.       789456.1       6.611736       8.581523       4.737681       2271.135      -9693560.       1204.831       144.1216    
  3519.572      0.2644808E-04  0.6746241E-06   1542166.       790806.6       6.619430       8.589255       4.740130       2270.381      -9666192.       1204.611       144.0243    
  3521.943      0.2635244E-04  0.6724782E-06   1546784.       792154.4       6.627102       8.596963       4.742570       2269.632      -9638839.       1204.392       143.9273    
  3524.309      0.2625756E-04  0.6703483E-06   1551398.       793499.5       6.634751       8.604648       4.745002       2268.885      -9611501.       1204.175       143.8307    
  3526.668      0.2616343E-04  0.6682342E-06   1556007.       794842.1       6.642377       8.612311       4.747425       2268.142      -9584177.       1203.960       143.7345    
  3529.022      0.2607005E-04  0.6661356E-06   1560612.       796181.9       6.649980       8.619950       4.749840       2267.401      -9556867.       1203.746       143.6386    
  3532.391      0.2597279E-04  0.6633909E-06   1566896.       798471.9       6.660176       8.631164       4.754397       2266.576      -9529715.       1203.541       143.5016    
  3534.732      0.2588099E-04  0.6613276E-06   1571491.       799806.8       6.667726       8.638751       4.756794       2265.843      -9502442.       1203.331       143.4066    
  3537.066      0.2578991E-04  0.6592794E-06   1576082.       801139.2       6.675255       8.646317       4.759183       2265.112      -9475184.       1203.123       143.3119    
  3539.395      0.2569953E-04  0.6572459E-06   1580670.       802469.1       6.682762       8.653860       4.761564       2264.384      -9447940.       1202.917       143.2176    
  3541.719      0.2560985E-04  0.6552271E-06   1585252.       803796.3       6.690247       8.661382       4.763937       2263.660      -9420710.       1202.712       143.1237    
  3544.037      0.2552084E-04  0.6532228E-06   1589831.       805121.1       6.697711       8.668882       4.766301       2262.938      -9393495.       1202.509       143.0301    
  3546.349      0.2543252E-04  0.6512327E-06   1594406.       806443.4       6.705154       8.676360       4.768658       2262.219      -9366294.       1202.307       142.9368    
  3548.656      0.2534486E-04  0.6492568E-06   1598977.       807763.1       6.712576       8.683817       4.771007       2261.504      -9339107.       1202.107       142.8439    
  3550.957      0.2525787E-04  0.6472949E-06   1603544.       809080.4       6.719976       8.691253       4.773348       2260.791      -9311934.       1201.909       142.7513    
  3553.253      0.2517152E-04  0.6453467E-06   1608107.       810395.3       6.727356       8.698669       4.775682       2260.081      -9284776.       1201.712       142.6591    
  3555.543      0.2508583E-04  0.6434123E-06   1612666.       811707.6       6.734715       8.706063       4.778008       2259.374      -9257632.       1201.516       142.5672    
  3557.828      0.2500077E-04  0.6414913E-06   1617221.       813017.6       6.742054       8.713436       4.780326       2258.670      -9230502.       1201.322       142.4756    
  3560.108      0.2491634E-04  0.6395836E-06   1621772.       814325.1       6.749372       8.720789       4.782636       2257.969      -9203385.       1201.130       142.3844    
  3562.382      0.2483253E-04  0.6376891E-06   1626320.       815630.2       6.756670       8.728122       4.784939       2257.270      -9176283.       1200.939       142.2935    
  3564.651      0.2474934E-04  0.6358077E-06   1630863.       816933.0       6.763948       8.735434       4.787234       2256.575      -9149195.       1200.750       142.2029    
  3566.915      0.2466675E-04  0.6339392E-06   1635403.       818233.3       6.771206       8.742727       4.789522       2255.882      -9122121.       1200.561       142.1127    
  3569.174      0.2458477E-04  0.6320834E-06   1639939.       819531.3       6.778445       8.749999       4.791803       2255.192      -9095061.       1200.375       142.0227    
  3571.427      0.2450338E-04  0.6302402E-06   1644472.       820827.0       6.785664       8.757251       4.794076       2254.504      -9068015.       1200.190       141.9331    
  3573.675      0.2442258E-04  0.6284095E-06   1649001.       822120.3       6.792863       8.764484       4.796342       2253.819      -9040982.       1200.006       141.8438    
  3575.918      0.2434236E-04  0.6265912E-06   1653526.       823411.3       6.800043       8.771697       4.798601       2253.137      -9013964.       1199.823       141.7548    
  3578.157      0.2426271E-04  0.6247850E-06   1658047.       824700.0       6.807204       8.778891       4.800852       2252.458      -8986959.       1199.642       141.6662    
  3580.390      0.2418364E-04  0.6229909E-06   1662565.       825986.4       6.814345       8.786066       4.803097       2251.781      -8959968.       1199.462       141.5778    
  3582.618      0.2410512E-04  0.6212087E-06   1667079.       827270.6       6.821468       8.793221       4.805334       2251.107      -8932990.       1199.284       141.4898    
  3584.841      0.2402716E-04  0.6194384E-06   1671590.       828552.4       6.828572       8.800358       4.807564       2250.435      -8906027.       1199.106       141.4020    
  3594.112      0.2377300E-04  0.6136556E-06   1687372.       833821.9       6.851878       8.825028       4.816603       2251.847      -8876420.       1198.517       141.0373    
  3596.315      0.2369724E-04  0.6119418E-06   1691843.       835095.0       6.858849       8.832041       4.818802       2251.187      -8849529.       1198.344       140.9509    
  3598.513      0.2362201E-04  0.6102392E-06   1696311.       836365.9       6.865801       8.839035       4.820994       2250.529      -8822652.       1198.173       140.8648    
  3600.707      0.2354730E-04  0.6085475E-06   1700775.       837634.7       6.872736       8.846011       4.823180       2249.874      -8795789.       1198.003       140.7790    
  3602.895      0.2347310E-04  0.6068666E-06   1705237.       838901.2       6.879652       8.852969       4.825358       2249.221      -8768939.       1197.834       140.6934    
  3605.079      0.2339941E-04  0.6051965E-06   1709694.       840165.6       6.886551       8.859909       4.827530       2248.571      -8742103.       1197.667       140.6082    
  3607.259      0.2332622E-04  0.6035370E-06   1714148.       841427.8       6.893433       8.866831       4.829696       2247.923      -8715279.       1197.500       140.5233    
  3609.434      0.2325352E-04  0.6018881E-06   1718599.       842687.8       6.900297       8.873736       4.831854       2247.278      -8688470.       1197.335       140.4386    
  3611.604      0.2318132E-04  0.6002495E-06   1723047.       843945.7       6.907144       8.880623       4.834006       2246.635      -8661673.       1197.170       140.3542    
  3613.769      0.2310961E-04  0.5986212E-06   1727492.       845201.5       6.913974       8.887493       4.836152       2245.994      -8634890.       1197.007       140.2701    
  3726.884      0.2427258E-04  0.5348094E-06   1944880.       986362.9       7.223930       9.352720       5.144527       2223.426      -8640046.       1203.066       136.0128    
  3728.875      0.2420637E-04  0.5334660E-06   1949462.       987666.2       7.230502       9.359280       5.146550       2222.776      -8614132.       1202.895       135.9401    
  3730.862      0.2414057E-04  0.5321306E-06   1954039.       988967.4       7.237058       9.365825       5.148567       2222.128      -8588228.       1202.726       135.8677    
  3732.846      0.2407517E-04  0.5308030E-06   1958614.       990266.6       7.243599       9.372354       5.150579       2221.482      -8562337.       1202.557       135.7955    
  3734.825      0.2401017E-04  0.5294833E-06   1963185.       991563.6       7.250125       9.378867       5.152585       2220.838      -8536456.       1202.390       135.7236    
  3750.893      0.2353106E-04  0.5208174E-06   1992597.       999858.6       7.288571       9.416227       5.162998       2224.509      -8504022.       1201.221       135.1421    
  3752.845      0.2346893E-04  0.5195765E-06   1997065.       1001137.       7.294840       9.422509       5.164953       2223.883      -8478246.       1201.060       135.0719    
  3754.793      0.2340718E-04  0.5183425E-06   2001530.       1002413.       7.301095       9.428777       5.166903       2223.259      -8452481.       1200.899       135.0018    
  3756.737      0.2334579E-04  0.5171154E-06   2005991.       1003687.       7.307336       9.435031       5.168847       2222.636      -8426727.       1200.740       134.9319    
  3758.678      0.2328476E-04  0.5158951E-06   2010450.       1004959.       7.313564       9.441271       5.170786       2222.016      -8400983.       1200.581       134.8622    
  3760.616      0.2322408E-04  0.5146815E-06   2014905.       1006229.       7.319777       9.447496       5.172720       2221.397      -8375251.       1200.424       134.7928    
  3762.549      0.2316377E-04  0.5134746E-06   2019358.       1007498.       7.325977       9.453708       5.174649       2220.781      -8349530.       1200.267       134.7235    
  3764.480      0.2310380E-04  0.5122744E-06   2023807.       1008764.       7.332163       9.459906       5.176573       2220.166      -8323820.       1200.112       134.6544    
  3766.406      0.2304419E-04  0.5110807E-06   2028254.       1010028.       7.338336       9.466090       5.178491       2219.553      -8298120.       1199.957       134.5855    
  3768.329      0.2298492E-04  0.5098935E-06   2032698.       1011291.       7.344495       9.472261       5.180404       2218.942      -8272432.       1199.803       134.5168    
  3770.249      0.2292599E-04  0.5087127E-06   2037138.       1012552.       7.350641       9.478418       5.182312       2218.333      -8246754.       1199.650       134.4484    
  3772.165      0.2286740E-04  0.5075384E-06   2041576.       1013810.       7.356774       9.484561       5.184215       2217.726      -8221088.       1199.498       134.3801    
  3774.078      0.2280914E-04  0.5063704E-06   2046011.       1015067.       7.362893       9.490691       5.186113       2217.121      -8195432.       1199.347       134.3119    
  3775.987      0.2275122E-04  0.5052086E-06   2050443.       1016322.       7.368999       9.496808       5.188006       2216.518      -8169787.       1199.197       134.2440    
  3790.368      0.2232557E-04  0.4981998E-06   2076138.       1023076.       7.400950       9.526945       5.195331       2219.446      -8139241.       1198.143       133.7347    
  3792.254      0.2227000E-04  0.4971011E-06   2080473.       1024314.       7.406829       9.532857       5.197179       2218.858      -8113688.       1197.998       133.6682    
  3794.138      0.2221474E-04  0.4960081E-06   2084806.       1025549.       7.412697       9.538756       5.199023       2218.272      -8088147.       1197.854       133.6018    
  3796.018      0.2215978E-04  0.4949206E-06   2089136.       1026784.       7.418553       9.544643       5.200862       2217.687      -8062615.       1197.710       133.5357    
  3797.895      0.2210512E-04  0.4938387E-06   2093464.       1028016.       7.424397       9.550518       5.202696       2217.104      -8037094.       1197.568       133.4696    
  3812.461      0.2171870E-04  0.4869122E-06   2119913.       1036569.       7.456866       9.584196       5.214304       2219.689      -8007250.       1196.625       132.9597    
  3814.315      0.2166624E-04  0.4858905E-06   2124143.       1037785.       7.462487       9.589868       5.216094       2219.120      -7981823.       1196.487       132.8951    
  3816.167      0.2161406E-04  0.4848738E-06   2128371.       1039000.       7.468098       9.595529       5.217880       2218.553      -7956406.       1196.349       132.8306    
  3818.016      0.2156216E-04  0.4838619E-06   2132597.       1040213.       7.473698       9.601180       5.219661       2217.987      -7931000.       1196.213       132.7663    
  3819.862      0.2151053E-04  0.4828548E-06   2136821.       1041425.       7.479287       9.606818       5.221438       2217.424      -7905604.       1196.077       132.7021    
  3832.105      0.2142321E-04  0.4773910E-06   2162510.       1062576.       7.512084       9.664492       5.265762       2212.098      -7886881.       1195.807       132.2782    
  3833.933      0.2137251E-04  0.4764166E-06   2166708.       1063786.       7.517578       9.670028       5.267504       2211.540      -7861573.       1195.673       132.2151    
  3835.758      0.2132207E-04  0.4754467E-06   2170904.       1064994.       7.523063       9.675554       5.269241       2210.983      -7836276.       1195.539       132.1522    
  3837.580      0.2127189E-04  0.4744813E-06   2175097.       1066201.       7.528537       9.681069       5.270974       2210.428      -7810989.       1195.405       132.0894    
  3839.400      0.2122197E-04  0.4735204E-06   2179288.       1067407.       7.534002       9.686574       5.272703       2209.875      -7785712.       1195.273       132.0268    
  3886.900      0.1996324E-04  0.4532445E-06   2275180.       1140226.       7.650788       9.881701       5.416189       2186.671      -7792377.       1191.241       130.4134    
  3888.661      0.1991720E-04  0.4523749E-06   2279327.       1141401.       7.656024       9.886899       5.417752       2186.158      -7767374.       1191.119       130.3543    
  3890.419      0.1987140E-04  0.4515091E-06   2283473.       1142575.       7.661252       9.892086       5.419312       2185.647      -7742380.       1190.998       130.2954    
  3892.174      0.1982581E-04  0.4506471E-06   2287616.       1143747.       7.666470       9.897264       5.420868       2185.137      -7717396.       1190.878       130.2367    
  3919.829      0.1932290E-04  0.4393014E-06   2344135.       1190861.       7.733174       10.01545       5.511844       2173.203      -7708564.       1189.278       129.3178    
  3921.550      0.1927930E-04  0.4384968E-06   2348225.       1192015.       7.738219       10.02042       5.513304       2172.711      -7683747.       1189.162       129.2611    
  3923.268      0.1923591E-04  0.4376956E-06   2352314.       1193167.       7.743257       10.02537       5.514761       2172.220      -7658940.       1189.046       129.2045    
  3924.984      0.1919273E-04  0.4368978E-06   2356401.       1194318.       7.748285       10.03032       5.516214       2171.730      -7634143.       1188.931       129.1480    
  3926.698      0.1914975E-04  0.4361033E-06   2360485.       1195468.       7.753306       10.03527       5.517663       2171.242      -7609354.       1188.816       129.0916    
  3934.776      0.1912700E-04  0.4330724E-06   2378509.       1212758.       7.774857       10.07689       5.551714       2164.443      -7593427.       1188.681       128.8266    
  3936.479      0.1908435E-04  0.4322920E-06   2382590.       1213906.       7.779840       10.08178       5.553138       2163.957      -7568698.       1188.566       128.7709    
  3938.179      0.1904191E-04  0.4315148E-06   2386668.       1215051.       7.784815       10.08667       5.554558       2163.473      -7543978.       1188.452       128.7153    
  3939.878      0.1899966E-04  0.4307408E-06   2390745.       1216195.       7.789781       10.09154       5.555975       2162.990      -7519267.       1188.339       128.6598    
  3941.574      0.1895761E-04  0.4299700E-06   2394820.       1217338.       7.794739       10.09640       5.557388       2162.509      -7494566.       1188.226       128.6044    
  3951.596      0.1901966E-04  0.4268272E-06   2414522.       1235084.       7.816806       10.13786       5.590646       2156.293      -7477890.       1188.517       128.2782    
  3953.281      0.1897790E-04  0.4260703E-06   2418594.       1236231.       7.821727       10.14269       5.592049       2155.812      -7453262.       1188.404       128.2235    
  3954.965      0.1893634E-04  0.4253164E-06   2422665.       1237377.       7.826640       10.14751       5.593449       2155.333      -7428644.       1188.291       128.1690    
  3956.646      0.1889497E-04  0.4245657E-06   2426734.       1238521.       7.831546       10.15232       5.594846       2154.854      -7404034.       1188.179       128.1145    
  3958.324      0.1885378E-04  0.4238179E-06   2430800.       1239664.       7.836443       10.15712       5.596239       2154.377      -7379433.       1188.068       128.0602    
  3971.440      0.1902126E-04  0.4202804E-06   2454056.       1259561.       7.860828       10.20196       5.631650       2148.476      -7362483.       1188.879       127.6373    
  3973.108      0.1898033E-04  0.4195475E-06   2458121.       1260718.       7.865684       10.20673       5.633052       2147.998      -7337978.       1188.767       127.5837    
  3974.774      0.1893959E-04  0.4188176E-06   2462184.       1261873.       7.870532       10.21150       5.634450       2147.520      -7313482.       1188.655       127.5302    
